#Exudyn implicit second order time integration sensor output file
#measure Object number = 1
#OutputVariableType = Force
#simulation started = 2025-03-16,19:47:14
#columns contain: time, comma separated sensor values (e.g, x,y,z position coordinates)
#number of sensor values = 1
#Exudyn version = 1.8.0; Python3.10.13; Linux FLOAT64
#
0,-312
0.005,-270.8020757
0.01,-209.0886259
0.015,-131.1538144
0.02,-42.18150694
0.025,52.09486527
0.03,145.7577818
0.035,233.07339
0.04,308.8389147
0.045,368.6888978
0.05,409.3424877
0.055,428.7780538
0.06,426.3262021
0.065,402.6774963
0.07,359.8065143
0.075,300.8189664
0.08,229.7331577
0.085,151.210828
0.09,70.25513965
0.095,-8.104839123
0.1,-79.12345543
0.105,-138.6227646
0.11,-183.2349625
0.115,-210.5891097
0.12,-219.4320613
0.125,-209.6778028
0.13,-182.3839307
0.135,-139.6585197
0.14,-84.50480884
0.145,-20.61477637
0.15,47.87446706
0.155,116.6455961
0.16,181.4705128
0.165,238.4676642
0.17,284.331739
0.175,316.5223277
0.18,333.4009778
0.185,334.3095058
0.19,319.5862079
0.195,290.5205076
0.2,249.2503426
0.205,198.610002
0.21,141.9389762
0.215,82.86451516
0.22,25.07188833
0.225,-27.92324683
0.23,-72.9864494
0.235,-107.5474791
0.24,-129.744135
0.245,-138.5190856
0.25,-133.6649076
0.255,-115.8158459
0.26,-86.38811583
0.265,-47.47368132
0.27,-1.695177205
0.275,47.96816132
0.28,98.37216198
0.285,146.4047731
0.29,189.1762875
0.295,224.1912252
0.3,249.4917771
0.305,263.7647077
0.31,266.4060565
0.315,257.5407066
0.32,237.9967362
0.325,209.2372398
0.33,173.2548552
0.335,132.4363897
0.34,89.40659315
0.345,46.86118023
0.35,7.399617994
0.355,-26.63205357
0.36,-53.27896716
0.365,-71.08776492
0.37,-79.1834302
0.375,-77.30872521
0.38,-65.82473651
0.385,-45.67345458
0.39,-18.30562112
0.395,14.42087028
0.4,50.36505726
0.405,87.24130474
0.41,122.763166
0.415,154.7837438
0.42,181.4240228
0.425,201.1815924
0.43,213.0135718
0.435,216.3892824
0.44,211.3101821
0.445,198.2966457
0.45,178.3432198
0.455,152.8458784
0.46,123.5064329
0.465,92.22052943
0.47,60.95651191
0.475,31.63281228
0.48,6.00142944
0.485,-14.45550093
0.49,-28.6100204
0.495,-35.74884206
0.5,-35.60689981
0.505,-28.37255819
0.51,-14.66486229
0.515,4.515085985
0.52,27.85500234
0.525,53.81964591
0.53,80.75055313
0.535,106.9708741
0.54,130.8887503
0.545,151.0929255
0.55,166.4349114
0.555,176.0929974
0.56,179.6146243
0.565,176.9350525
0.57,168.3717671
0.575,154.5955589
0.58,136.5806341
0.585,115.537331
0.59,92.83200329
0.595,69.89930468
0.6,48.15244465
0.605,28.89697565
0.61,13.25331525
0.615,2.092543541
0.62,-4.010910981
0.625,-4.807209741
0.63,-0.3784298502
0.635,8.874663748
0.64,22.26508065
0.645,38.86883475
0.65,57.58750595
0.655,77.2199649
0.66,96.53863207
0.665,114.3654788
0.67,129.6431113
0.675,141.4966969
0.68,149.2831555
0.685,152.6249137
0.69,151.4265283
0.695,145.8735834
0.7,136.4143647
0.705,123.725862
0.71,108.6665722
0.715,92.21932724
0.72,75.42789946
0.725,59.3314322
0.73,44.9007716
0.735,32.98056177
0.74,24.24051493
0.745,19.13862115
0.75,17.8982614
0.755,20.5002854
0.76,26.69017159
0.765,35.99945724
0.77,47.77977149
0.775,61.24707134
0.78,75.53311348
0.785,89.7408244
0.79,103.0000737
0.795,114.5204177
0.8,123.6376498
0.805,129.8514549
0.81,132.852074
0.815,132.5346156
0.82,129.0004383
0.825,122.5458407
0.83,113.6390643
0.835,102.8873105
0.84,90.996042
0.845,78.72325711
0.85,66.83166801
0.855,56.04176933
0.86,46.98865631
0.865,40.18515011
0.87,35.99333816
0.875,34.60606876
0.88,36.03929008
0.885,40.13543626
0.89,46.57738018
0.895,54.91183574
0.9,64.58054011
0.905,74.95710989
0.91,85.38716918
0.915,95.22920559
0.92,103.8936286
0.925,110.877677
0.93,115.7941362
0.935,118.3922535
0.94,118.5697625
0.945,116.3754961
0.95,112.0026607
0.955,105.773415
0.96,98.11591429
0.965,89.53541469
0.97,80.58135848
0.975,71.81255925
0.98,63.76267094
0.985,56.90805316
0.99,51.63994622
0.995,48.24255723
1,46.87825669
